Model_Type,Num_Features,Features_Used,Pickle_File,Val_Accuracy,Val_F1,Val_Precision,Val_Recall,Test_Accuracy,Test_F1,Test_Precision,Test_Recall
Simple_LR_No_Weights,4,dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_svd_vgd_0e142281.pkl,0.6818,0.666527,0.700132,0.636,0.795547,0.78617,0.872165,0.715611
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_svd_vgd_e0b7df86.pkl,0.6816,0.654063,0.715985,0.602,0.844363,0.847965,0.870698,0.826389
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_sld_svd_vgd_fda071a1.pkl,0.68,0.652174,0.714286,0.6,0.846026,0.849405,0.873306,0.826778
Simple_LR_No_Weights,4,verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_lex_svd_vgd_12334f8f.pkl,0.6672,0.652174,0.683012,0.624,0.760125,0.733439,0.880773,0.628333
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_sld_svd_vgd_c5145a85.pkl,0.6734,0.650246,0.699862,0.6072,0.810487,0.80892,0.859734,0.763778
Simple_LR_No_Weights,4,sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_sld_svd_vgd_ed15f806.pkl,0.6712,0.648116,0.697053,0.6056,0.811537,0.810046,0.860589,0.765111
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_svd_vgd_d47bbd77.pkl,0.6712,0.647362,0.697965,0.6036,0.80859,0.806158,0.861066,0.757833
Simple_LR_No_Weights,5,dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_lex_svd_vgd_f58b96f2.pkl,0.6678,0.646521,0.690769,0.6076,0.76774,0.753071,0.852627,0.674333
Simple_LR_No_Weights,5,sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_fwa_sld_svd_vgd_ad957358.pkl,0.6688,0.645244,0.694649,0.6024,0.809932,0.807551,0.86238,0.759278
Simple_LR_No_Weights,5,burstiness | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_svd_vgd_b5827d23.pkl,0.66,0.635818,0.684502,0.5936,0.833975,0.834275,0.876821,0.795667
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_vgd_f1266f5e.pkl,0.6622,0.630658,0.69561,0.5768,0.851132,0.856886,0.865382,0.848556
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_sld_svd_vgd_c67590a3.pkl,0.6642,0.629768,0.70172,0.5712,0.83453,0.831496,0.893772,0.777333
Simple_LR_No_Weights,4,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,lr_models/lr_dtd_fwa_sld_vgd_3d371a58.pkl,0.6608,0.628722,0.694391,0.5744,0.851949,0.857632,0.866383,0.849056
